,0
KENTUCKY,0.4215784215784216
CONNECTICUT,0.2157842157842158
DELAWARE,0.13086913086913088
NORTH DAKOTA,0.10689310689310691
ARIZONA,0.1048951048951049
MINNESOTA,0.01198801198801199
OKLAHOMA,0.007992007992007994
DISTRICT OF COLUMBIA,0.0
HAWAII,0.0
COLORADO,0.0
CALIFORNIA,0.0
ALABAMA,0.0
ALASKA,0.0
IOWA,0.0
INDIANA,0.0
ILLINOIS,0.0
IDAHO,0.0
MAINE,0.0
MARYLAND,0.0
LOUISIANA,0.0
KANSAS,0.0
MONTANA,0.0
NEBRASKA,0.0
NEVADA,0.0
NEW HAMPSHIRE,0.0
NEW JERSEY,0.0
NEW MEXICO,0.0
MASSACHUSETTS,0.0
MISSISSIPPI,0.0
NORTH CAROLINA,0.0
NEW YORK,0.0
OHIO,0.0
OREGON,0.0
PENNSYLVANIA,0.0
RHODE ISLAND,0.0
SOUTH DAKOTA,0.0
TENNESSEE,0.0
TEXAS,0.0
UTAH,0.0
VERMONT,0.0
VIRGINIA,0.0
WASHINGTON,0.0
WEST VIRGINIA,0.0
WISCONSIN,0.0
WYOMING,0.0
