year,month_num,date,mo_yr
1976,1,1976-01-01,1
1976,2,1976-02-01,2
1976,3,1976-03-01,3
1976,4,1976-04-01,4
1976,5,1976-05-01,5
1976,6,1976-06-01,6
1976,7,1976-07-01,7
1976,8,1976-08-01,8
1976,9,1976-09-01,9
1976,10,1976-10-01,10
1976,11,1976-11-01,11
1976,12,1976-12-01,12
1977,1,1977-01-01,13
1977,2,1977-02-01,14
1977,3,1977-03-01,15
1977,4,1977-04-01,16
1977,5,1977-05-01,17
1977,6,1977-06-01,18
1977,7,1977-07-01,19
1977,8,1977-08-01,20
1977,9,1977-09-01,21
1977,10,1977-10-01,22
1977,11,1977-11-01,23
1977,12,1977-12-01,24
1978,1,1978-01-01,25
1978,2,1978-02-01,26
1978,3,1978-03-01,27
1978,4,1978-04-01,28
1978,5,1978-05-01,29
1978,6,1978-06-01,30
1978,7,1978-07-01,31
1978,8,1978-08-01,32
1978,9,1978-09-01,33
1978,10,1978-10-01,34
1978,11,1978-11-01,35
1978,12,1978-12-01,36
1979,1,1979-01-01,37
1979,2,1979-02-01,38
1979,3,1979-03-01,39
1979,4,1979-04-01,40
1979,5,1979-05-01,41
1979,6,1979-06-01,42
1979,7,1979-07-01,43
1979,8,1979-08-01,44
1979,9,1979-09-01,45
1979,10,1979-10-01,46
1979,11,1979-11-01,47
1979,12,1979-12-01,48
1980,1,1980-01-01,49
1980,2,1980-02-01,50
1980,3,1980-03-01,51
1980,4,1980-04-01,52
1980,5,1980-05-01,53
1980,6,1980-06-01,54
1980,7,1980-07-01,55
1980,8,1980-08-01,56
1980,9,1980-09-01,57
1980,10,1980-10-01,58
1980,11,1980-11-01,59
1980,12,1980-12-01,60
1981,1,1981-01-01,61
1981,2,1981-02-01,62
1981,3,1981-03-01,63
1981,4,1981-04-01,64
1981,5,1981-05-01,65
1981,6,1981-06-01,66
1981,7,1981-07-01,67
1981,8,1981-08-01,68
1981,9,1981-09-01,69
1981,10,1981-10-01,70
1981,11,1981-11-01,71
1981,12,1981-12-01,72
1982,1,1982-01-01,73
1982,2,1982-02-01,74
1982,3,1982-03-01,75
1982,4,1982-04-01,76
1982,5,1982-05-01,77
1982,6,1982-06-01,78
1982,7,1982-07-01,79
1982,8,1982-08-01,80
1982,9,1982-09-01,81
1982,10,1982-10-01,82
1982,11,1982-11-01,83
1982,12,1982-12-01,84
1983,1,1983-01-01,85
1983,2,1983-02-01,86
1983,3,1983-03-01,87
1983,4,1983-04-01,88
1983,5,1983-05-01,89
1983,6,1983-06-01,90
1983,7,1983-07-01,91
1983,8,1983-08-01,92
1983,9,1983-09-01,93
1983,10,1983-10-01,94
1983,11,1983-11-01,95
1983,12,1983-12-01,96
1984,1,1984-01-01,97
1984,2,1984-02-01,98
1984,3,1984-03-01,99
1984,4,1984-04-01,100
1984,5,1984-05-01,101
1984,6,1984-06-01,102
1984,7,1984-07-01,103
1984,8,1984-08-01,104
1984,9,1984-09-01,105
1984,10,1984-10-01,106
1984,11,1984-11-01,107
1984,12,1984-12-01,108
1985,1,1985-01-01,109
1985,2,1985-02-01,110
1985,3,1985-03-01,111
1985,4,1985-04-01,112
1985,5,1985-05-01,113
1985,6,1985-06-01,114
1985,7,1985-07-01,115
1985,8,1985-08-01,116
1985,9,1985-09-01,117
1985,10,1985-10-01,118
1985,11,1985-11-01,119
1985,12,1985-12-01,120
1986,1,1986-01-01,121
1986,2,1986-02-01,122
1986,3,1986-03-01,123
1986,4,1986-04-01,124
1986,5,1986-05-01,125
1986,6,1986-06-01,126
1986,7,1986-07-01,127
1986,8,1986-08-01,128
1986,9,1986-09-01,129
1986,10,1986-10-01,130
1986,11,1986-11-01,131
1986,12,1986-12-01,132
1987,1,1987-01-01,133
1987,2,1987-02-01,134
1987,3,1987-03-01,135
1987,4,1987-04-01,136
1987,5,1987-05-01,137
1987,6,1987-06-01,138
1987,7,1987-07-01,139
1987,8,1987-08-01,140
1987,9,1987-09-01,141
1987,10,1987-10-01,142
1987,11,1987-11-01,143
1987,12,1987-12-01,144
1988,1,1988-01-01,145
1988,2,1988-02-01,146
1988,3,1988-03-01,147
1988,4,1988-04-01,148
1988,5,1988-05-01,149
1988,6,1988-06-01,150
1988,7,1988-07-01,151
1988,8,1988-08-01,152
1988,9,1988-09-01,153
1988,10,1988-10-01,154
1988,11,1988-11-01,155
1988,12,1988-12-01,156
1989,1,1989-01-01,157
1989,2,1989-02-01,158
1989,3,1989-03-01,159
1989,4,1989-04-01,160
1989,5,1989-05-01,161
1989,6,1989-06-01,162
1989,7,1989-07-01,163
1989,8,1989-08-01,164
1989,9,1989-09-01,165
1989,10,1989-10-01,166
1989,11,1989-11-01,167
1989,12,1989-12-01,168
1990,1,1990-01-01,169
1990,2,1990-02-01,170
1990,3,1990-03-01,171
1990,4,1990-04-01,172
1990,5,1990-05-01,173
1990,6,1990-06-01,174
1990,7,1990-07-01,175
1990,8,1990-08-01,176
1990,9,1990-09-01,177
