appendix_item_id,section,section_title,file_name,file_type,caption,recommended_use,source_group,original_file_name,original_path,copied_path
D001,D_baseline_tda,Baseline SCM-TDA Diagnostics,baseline_embedding_summary.csv,csv,Embedding-level TDA summary table.,appendix_table,baseline,baseline_embedding_summary.csv,/home/jupyter/topological fit check on scm/outputs_baseline_tda/baseline_embedding_summary.csv,/home/jupyter/topological fit check on scm/outputs_appendix/D_baseline_tda/baseline_embedding_summary.csv
D002,D_baseline_tda,Baseline SCM-TDA Diagnostics,baseline_pre_levels.csv,csv,Appendix support file.,appendix_support,baseline,baseline_pre_levels.csv,/home/jupyter/topological fit check on scm/outputs_baseline_tda/baseline_pre_levels.csv,/home/jupyter/topological fit check on scm/outputs_appendix/D_baseline_tda/baseline_pre_levels.csv
D003,D_baseline_tda,Baseline SCM-TDA Diagnostics,baseline_pre_levels_standardized.csv,csv,Appendix support file.,appendix_support,baseline,baseline_pre_levels_standardized.csv,/home/jupyter/topological fit check on scm/outputs_baseline_tda/baseline_pre_levels_standardized.csv,/home/jupyter/topological fit check on scm/outputs_appendix/D_baseline_tda/baseline_pre_levels_standardized.csv
D004,D_baseline_tda,Baseline SCM-TDA Diagnostics,baseline_synthetic_H0_diagram_2_1.csv,csv,Zero-homology persistence diagram data.,appendix_tda_diagnostic,baseline,baseline_synthetic_H0_diagram_2_1.csv,/home/jupyter/topological fit check on scm/outputs_baseline_tda/baseline_synthetic_H0_diagram_2_1.csv,/home/jupyter/topological fit check on scm/outputs_appendix/D_baseline_tda/baseline_synthetic_H0_diagram_2_1.csv
D005,D_baseline_tda,Baseline SCM-TDA Diagnostics,baseline_synthetic_H0_diagram_3_1.csv,csv,Zero-homology persistence diagram data.,appendix_tda_diagnostic,baseline,baseline_synthetic_H0_diagram_3_1.csv,/home/jupyter/topological fit check on scm/outputs_baseline_tda/baseline_synthetic_H0_diagram_3_1.csv,/home/jupyter/topological fit check on scm/outputs_appendix/D_baseline_tda/baseline_synthetic_H0_diagram_3_1.csv
D006,D_baseline_tda,Baseline SCM-TDA Diagnostics,baseline_synthetic_H1_diagram_2_1.csv,csv,First-homology persistence diagram data.,appendix_tda_diagnostic,baseline,baseline_synthetic_H1_diagram_2_1.csv,/home/jupyter/topological fit check on scm/outputs_baseline_tda/baseline_synthetic_H1_diagram_2_1.csv,/home/jupyter/topological fit check on scm/outputs_appendix/D_baseline_tda/baseline_synthetic_H1_diagram_2_1.csv
D007,D_baseline_tda,Baseline SCM-TDA Diagnostics,baseline_synthetic_H1_diagram_3_1.csv,csv,First-homology persistence diagram data.,appendix_tda_diagnostic,baseline,baseline_synthetic_H1_diagram_3_1.csv,/home/jupyter/topological fit check on scm/outputs_baseline_tda/baseline_synthetic_H1_diagram_3_1.csv,/home/jupyter/topological fit check on scm/outputs_appendix/D_baseline_tda/baseline_synthetic_H1_diagram_3_1.csv
D008,D_baseline_tda,Baseline SCM-TDA Diagnostics,baseline_synthetic_embedding_2_1.csv,csv,Delay-embedding point-cloud output.,appendix_tda_diagnostic,baseline,baseline_synthetic_embedding_2_1.csv,/home/jupyter/topological fit check on scm/outputs_baseline_tda/baseline_synthetic_embedding_2_1.csv,/home/jupyter/topological fit check on scm/outputs_appendix/D_baseline_tda/baseline_synthetic_embedding_2_1.csv
D009,D_baseline_tda,Baseline SCM-TDA Diagnostics,baseline_synthetic_embedding_3_1.csv,csv,Delay-embedding point-cloud output.,appendix_tda_diagnostic,baseline,baseline_synthetic_embedding_3_1.csv,/home/jupyter/topological fit check on scm/outputs_baseline_tda/baseline_synthetic_embedding_3_1.csv,/home/jupyter/topological fit check on scm/outputs_appendix/D_baseline_tda/baseline_synthetic_embedding_3_1.csv
D010,D_baseline_tda,Baseline SCM-TDA Diagnostics,baseline_treated_H0_diagram_2_1.csv,csv,Zero-homology persistence diagram data.,appendix_tda_diagnostic,baseline,baseline_treated_H0_diagram_2_1.csv,/home/jupyter/topological fit check on scm/outputs_baseline_tda/baseline_treated_H0_diagram_2_1.csv,/home/jupyter/topological fit check on scm/outputs_appendix/D_baseline_tda/baseline_treated_H0_diagram_2_1.csv
