,0
KENTUCKY,0.473960235238436
NEBRASKA,0.22057420973923433
CONNECTICUT,0.11095649847207054
NEVADA,0.07619407292588161
RHODE ISLAND,0.052811558154612234
OHIO,0.049471803848469074
NORTH DAKOTA,0.01299610784132253
ARIZONA,0.0030355137799736288
HAWAII,5.841551349870264e-17
MISSISSIPPI,4.2568841903169477e-17
INDIANA,3.789996484870978e-17
SOUTH DAKOTA,1.9941907173694224e-17
ALASKA,1.87040712446188e-17
ALABAMA,1.8008709097087194e-17
DISTRICT OF COLUMBIA,1.4754458727994618e-17
CALIFORNIA,1.2468468210095275e-17
MAINE,1.0496288474004994e-17
IDAHO,8.477843674490986e-18
LOUISIANA,4.949177053841868e-18
KANSAS,3.579153063021528e-18
NEW MEXICO,2.7838053766580173e-18
VIRGINIA,1.5156655152259714e-18
PENNSYLVANIA,1.0357680791951084e-18
OKLAHOMA,5.817853778598764e-19
COLORADO,0.0
IOWA,0.0
ILLINOIS,0.0
DELAWARE,0.0
MINNESOTA,0.0
NORTH CAROLINA,0.0
NEW YORK,0.0
NEW JERSEY,0.0
NEW HAMPSHIRE,0.0
MONTANA,0.0
MARYLAND,0.0
MASSACHUSETTS,0.0
OREGON,0.0
TENNESSEE,0.0
TEXAS,0.0
UTAH,0.0
VERMONT,0.0
WASHINGTON,0.0
WEST VIRGINIA,0.0
WISCONSIN,0.0
WYOMING,0.0
