,0
OREGON,0.0015432595417871242
COLORADO,0.048029716162756815
LOUISIANA,0.06971878997111466
NORTH CAROLINA,0.07109972799905837
ARIZONA,0.07330609790869513
RHODE ISLAND,0.07491590732428079
VIRGINIA,0.08091129652495557
CALIFORNIA,0.08680565846881313
OKLAHOMA,0.08776590191608538
CONNECTICUT,0.08991882615829458
KANSAS,0.09324396281345258
WYOMING,0.09581799410381922
VERMONT,0.10406106419886763
MONTANA,0.10561978210958223
WASHINGTON,0.10993090847454033
NEVADA,0.1291457501523304
NEW JERSEY,0.1474334429561892
NEW YORK,0.1499576019179426
DELAWARE,0.15222521679082401
NORTH DAKOTA,0.16037179812404762
PENNSYLVANIA,0.1609471129699851
TEXAS,0.1658838001521481
IDAHO,0.17096953392141206
ILLINOIS,0.1770936131266904
WISCONSIN,0.18175009553549754
NEW MEXICO,0.19504490605093203
WEST VIRGINIA,0.1974001394075926
MINNESOTA,0.1992142865978364
INDIANA,0.22708347531146184
IOWA,0.2339827602944436
NEW HAMPSHIRE,0.23529989145725738
MARYLAND,0.236970824339896
ALASKA,0.2485590452136969
UTAH,0.24864250895116943
KENTUCKY,0.26100892044187796
TENNESSEE,0.2828324903010505
OHIO,0.287522699031836
HAWAII,0.3993930681997565
SOUTH DAKOTA,0.4041770661577705
MAINE,0.417398806490153
ALABAMA,0.4546831836250578
NEBRASKA,0.46512503463242405
