,0
KENTUCKY,0.47825340921246245
NEBRASKA,0.22601512866948373
CONNECTICUT,0.10979956969808512
NEVADA,0.07380986371050831
RHODE ISLAND,0.055655549099642904
OHIO,0.04564500857991591
NORTH DAKOTA,0.006766636788030101
ARIZONA,0.0040548342418708005
HAWAII,2.923686683378724e-16
NORTH CAROLINA,1.8166205056700822e-16
ALABAMA,3.457720841556494e-17
NEW MEXICO,2.2505426183268027e-17
TENNESSEE,2.1061028295940313e-17
MAINE,1.8642649401229523e-17
PENNSYLVANIA,1.3209060767936654e-17
IOWA,1.1113945214150707e-17
COLORADO,1.0358692319582556e-17
OREGON,1.0215369873925387e-17
VERMONT,9.828854542865719e-18
MASSACHUSETTS,9.58537411142938e-18
NEW YORK,6.933356884579362e-18
LOUISIANA,4.527898329399143e-18
MARYLAND,3.559251798304043e-18
DISTRICT OF COLUMBIA,2.8356611387330647e-18
NEW HAMPSHIRE,6.178862306843745e-19
UTAH,5.613800417781725e-19
CALIFORNIA,0.0
ALASKA,0.0
DELAWARE,0.0
INDIANA,0.0
ILLINOIS,0.0
IDAHO,0.0
NEW JERSEY,0.0
KANSAS,0.0
MONTANA,0.0
MINNESOTA,0.0
MISSISSIPPI,0.0
SOUTH DAKOTA,0.0
OKLAHOMA,0.0
TEXAS,0.0
VIRGINIA,0.0
WASHINGTON,0.0
WEST VIRGINIA,0.0
WISCONSIN,0.0
WYOMING,0.0
