appendix_item_id,section,section_title,file_name,file_type,caption,recommended_use,source_group,original_file_name,original_path,copied_path
G001,G_topology_augmented_loo,Topology-Augmented SCM Leave-One-Out Robustness,arizona_only_retry_summary.csv,csv,Arizona-only retry summary for the topology-augmented LOO robustness check.,appendix_robustness_check,topology,arizona_only_retry_summary.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_loo/arizona_only_retry_summary.csv,/home/jupyter/topological fit check on scm/outputs_appendix/G_topology_augmented_loo/arizona_only_retry_summary.csv
G002,G_topology_augmented_loo,Topology-Augmented SCM Leave-One-Out Robustness,drop_top_1_MINNESOTA_paths.csv,csv,Donor-drop synthetic path output for topology-augmented LOO.,appendix_robustness_check,topology,drop_top_1_MINNESOTA_paths.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_loo/drop_top_1_MINNESOTA_paths.csv,/home/jupyter/topological fit check on scm/outputs_appendix/G_topology_augmented_loo/drop_top_1_MINNESOTA_paths.csv
G003,G_topology_augmented_loo,Topology-Augmented SCM Leave-One-Out Robustness,drop_top_1_MINNESOTA_weights.csv,csv,Donor-drop donor-weight output for topology-augmented LOO.,appendix_robustness_check,topology,drop_top_1_MINNESOTA_weights.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_loo/drop_top_1_MINNESOTA_weights.csv,/home/jupyter/topological fit check on scm/outputs_appendix/G_topology_augmented_loo/drop_top_1_MINNESOTA_weights.csv
G004,G_topology_augmented_loo,Topology-Augmented SCM Leave-One-Out Robustness,drop_top_3_KENTUCKY_paths.csv,csv,Donor-drop synthetic path output for topology-augmented LOO.,appendix_robustness_check,topology,drop_top_3_KENTUCKY_paths.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_loo/drop_top_3_KENTUCKY_paths.csv,/home/jupyter/topological fit check on scm/outputs_appendix/G_topology_augmented_loo/drop_top_3_KENTUCKY_paths.csv
G005,G_topology_augmented_loo,Topology-Augmented SCM Leave-One-Out Robustness,drop_top_3_KENTUCKY_weights.csv,csv,Donor-drop donor-weight output for topology-augmented LOO.,appendix_robustness_check,topology,drop_top_3_KENTUCKY_weights.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_loo/drop_top_3_KENTUCKY_weights.csv,/home/jupyter/topological fit check on scm/outputs_appendix/G_topology_augmented_loo/drop_top_3_KENTUCKY_weights.csv
G006,G_topology_augmented_loo,Topology-Augmented SCM Leave-One-Out Robustness,retryA_lambda2_stronger_multistart_paths.csv,csv,Retry synthetic path output for a topology-augmented LOO scenario.,appendix_robustness_check,topology,retryA_lambda2_stronger_multistart_paths.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_loo/retryA_lambda2_stronger_multistart_paths.csv,/home/jupyter/topological fit check on scm/outputs_appendix/G_topology_augmented_loo/retryA_lambda2_stronger_multistart_paths.csv
G007,G_topology_augmented_loo,Topology-Augmented SCM Leave-One-Out Robustness,retryA_lambda2_stronger_multistart_weights.csv,csv,Retry donor-weight output for a topology-augmented LOO scenario.,appendix_robustness_check,topology,retryA_lambda2_stronger_multistart_weights.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_loo/retryA_lambda2_stronger_multistart_weights.csv,/home/jupyter/topological fit check on scm/outputs_appendix/G_topology_augmented_loo/retryA_lambda2_stronger_multistart_weights.csv
G008,G_topology_augmented_loo,Topology-Augmented SCM Leave-One-Out Robustness,retryB_continuation_0.5_1.0_2.0_paths.csv,csv,Retry synthetic path output for a topology-augmented LOO scenario.,appendix_robustness_check,topology,retryB_continuation_0.5_1.0_2.0_paths.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_loo/retryB_continuation_0.5_1.0_2.0_paths.csv,/home/jupyter/topological fit check on scm/outputs_appendix/G_topology_augmented_loo/retryB_continuation_0.5_1.0_2.0_paths.csv
G009,G_topology_augmented_loo,Topology-Augmented SCM Leave-One-Out Robustness,retryB_continuation_0.5_1.0_2.0_weights.csv,csv,Retry donor-weight output for a topology-augmented LOO scenario.,appendix_robustness_check,topology,retryB_continuation_0.5_1.0_2.0_weights.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_loo/retryB_continuation_0.5_1.0_2.0_weights.csv,/home/jupyter/topological fit check on scm/outputs_appendix/G_topology_augmented_loo/retryB_continuation_0.5_1.0_2.0_weights.csv
G010,G_topology_augmented_loo,Topology-Augmented SCM Leave-One-Out Robustness,topology_augmented_loo_decision_summary.csv,csv,Decision summary for topology-augmented leave-one-out robustness scenarios.,appendix_robustness_check,topology,topology_augmented_loo_decision_summary.csv,/home/jupyter/topological fit check on scm/outputs_topology_augmented_loo/topology_augmented_loo_decision_summary.csv,/home/jupyter/topological fit check on scm/outputs_appendix/G_topology_augmented_loo/topology_augmented_loo_decision_summary.csv
