,weight
TENNESSEE,0.13459389738539845
ARIZONA,0.1178155990991395
CALIFORNIA,0.11661570175831591
KENTUCKY,0.10907632309760612
IDAHO,0.10810641288610805
NEW HAMPSHIRE,0.08367379287807475
MAINE,0.03989594601496375
NORTH DAKOTA,0.027351083910720657
MONTANA,0.02470562045356185
NEVADA,0.02088362084590122
DISTRICT OF COLUMBIA,0.020786077672235385
ALABAMA,0.02076557219388938
SOUTH DAKOTA,0.016762114455615085
CONNECTICUT,0.01582895805792058
LOUISIANA,0.014558729067448038
MARYLAND,0.01333519129543736
WEST VIRGINIA,0.012581291080800696
MASSACHUSETTS,0.010558333575865457
RHODE ISLAND,0.010062519584872628
NEW JERSEY,0.00913324554927611
TEXAS,0.007961185285743464
INDIANA,0.0077596826439479604
HAWAII,0.007365193201248699
KANSAS,0.00728709020633698
IOWA,0.005679088696846519
NORTH CAROLINA,0.0056732884557868625
ALASKA,0.005023249757119047
WASHINGTON,0.004502985001169755
NEW MEXICO,0.004081200699577334
OHIO,0.0032744583538884325
NEBRASKA,0.00320913290855104
NEW YORK,0.0031243792532622836
PENNSYLVANIA,0.002869834283299031
COLORADO,0.0026554047273773945
DELAWARE,0.0016732567180372743
OREGON,0.00031387809910888095
UTAH,0.00022766649801532064
OKLAHOMA,0.00011903379269696898
VERMONT,6.802463501065496e-05
WISCONSIN,2.304661059407764e-05
MISSISSIPPI,1.6551397741575886e-05
WYOMING,2.304166416090004e-06
ILLINOIS,3.3743680566792505e-08
VIRGINIA,1.3928001202961045e-12
