mo_yr,date,treated,synthetic_topology_augmented,gap_centered_topology_augmented
397,2009-01-01,3.099999523800001,2.664342329783087,0.3958198644283608
398,2009-02-01,3.6399999616,3.2140733024291652,0.3860893295822816
399,2009-03-01,3.5400002482,3.4377894357244907,0.062373482886956225
400,2009-04-01,3.11999979,3.4436991307406855,-0.36353667032923864
401,2009-05-01,3.9199999808,4.001416410207045,-0.12125375899559819
402,2009-06-01,4.0199997898,4.131326536073701,-0.1511640758622539
403,2009-07-01,4.0999998092,4.2554470900601,-0.19528461044865342
404,2009-08-01,4.279999828399999,4.2850778245683685,-0.04491532575692235
405,2009-09-01,4.2999995236,4.295804171994936,-0.03564197798348888
406,2009-10-01,4.339999865999999,4.241564046761678,0.058598489649767785
407,2009-11-01,4.1200002674,4.0492557554172794,0.030907182394167357
408,2009-12-01,4.299999714400001,4.261284118993317,-0.0011217341818694354
409,2010-01-01,4.500000094800001,4.403654634272605,0.056508130938842896
410,2010-02-01,4.6399999616,4.465044368306652,0.13511826370479518
411,2010-03-01,4.439999867199999,4.433533644737424,-0.033371107125978114
412,2010-04-01,4.220000172000001,4.167024680140929,0.013138162270518464
413,2010-05-01,4.020000361799999,4.175875381352723,-0.1957123491412771
414,2010-06-01,3.819999980800001,3.9183370966565785,-0.1381744454451308
415,2010-07-01,4.200000191200001,4.108243904673416,0.05191895693803163
416,2010-08-01,4.279999828399999,4.1283993328044355,0.11176316600701065
417,2010-09-01,4.099999713599999,4.048012592036709,0.012149791974736437
418,2010-10-01,4.140000057,3.9718852854555777,0.128277441955869
419,2010-11-01,4.1200002674,3.9917015299121896,0.08846140789925717
420,2010-12-01,4.0999999044,3.966872688585664,0.0932898862257825
421,2011-01-01,4.000000095800001,3.910788722651194,0.04937404356025345
422,2011-02-01,3.8399997706,3.830316114843397,-0.030153673831950098
423,2011-03-01,3.340000438199999,3.663620979925716,-0.36345787131427043
424,2011-04-01,3.2200001720000007,3.5870402223699864,-0.406877379958539
425,2011-05-01,3.319999599800001,3.7126304050346506,-0.4324681348232029
426,2011-06-01,3.2199995998000013,3.668217602096331,-0.4880553318848828
427,2011-07-01,3.0000003812,3.8394486497101976,-0.8792855980987508
428,2011-08-01,3.3800002104000004,3.650912645864694,-0.3107497650532469
429,2011-09-01,3.0000002855999988,3.5035150482102893,-0.5433520921988437
430,2011-10-01,2.739999962,3.244439516978293,-0.544276884566846
431,2011-11-01,2.0199998854,2.8737089548920443,-0.8935463990805976
432,2011-12-01,2.2000002864,2.9077141895885403,-0.7475512327770937
433,2012-01-01,1.7999998098,2.7633746283499554,-1.0032121481385086
434,2012-02-01,2.0400000566000003,2.7877843886546967,-0.7876216616432496
435,2012-03-01,1.8399999621999996,2.580097320723581,-0.7799346881121345
436,2012-04-01,1.419999981,2.4106944057309985,-1.0305317543195518
437,2012-05-01,1.6199997898000005,2.67249985616196,-1.092337395950513
438,2012-06-01,1.4199998858000002,2.5591900923763706,-1.1790275361649236
439,2012-07-01,1.9000000002000004,2.759249522335098,-0.8990868517236508
440,2012-08-01,1.7799998284000005,2.5622296196119363,-0.822067120800489
441,2012-09-01,1.2000000955999992,2.2439808130176284,-1.0838180470061825
442,2012-10-01,1.4400002479999996,2.184400355799329,-0.7842374373878824
443,2012-11-01,1.0199998854,1.91083474043828,-0.9306721846268331
444,2012-12-01,1.5000000004,2.1266852441179975,-0.6665225733065507
445,2013-01-01,1.7999998098,2.2291191046748855,-0.46895662446343866
446,2013-02-01,1.6399999616,2.061748614697001,-0.4615859826855542
447,2013-03-01,1.2400000571999996,1.8334605076147492,-0.6332977800033028
448,2013-04-01,1.019999886,1.8183908758027392,-0.8382283193912925
449,2013-05-01,1.5199998858,1.9700017492458402,-0.4898391930343935
450,2013-06-01,1.4199998858000002,1.8512045654807063,-0.4710420092692593
451,2013-07-01,1.7000001912,1.866270180165043,-0.2061073185535962
452,2013-08-01,1.5800000194,1.7895834350647166,-0.24942074525326996
