,weight
MINNESOTA,0.2443510660452347
TEXAS,0.16052943619324359
NEVADA,0.13508822226620334
TENNESSEE,0.11577561056456198
ARIZONA,0.05505775600911549
HAWAII,0.047013658367483085
MASSACHUSETTS,0.041276798020500424
RHODE ISLAND,0.03903961516539361
WEST VIRGINIA,0.03518069462049401
IDAHO,0.027248031516768544
DISTRICT OF COLUMBIA,0.01667365411179418
ALABAMA,0.016307201017002042
OREGON,0.011771637188472696
NORTH DAKOTA,0.011326306770312853
CALIFORNIA,0.011032176604186244
IOWA,0.005693851788507708
NEW MEXICO,0.004723740439161673
LOUISIANA,0.004678506973165683
WASHINGTON,0.002819693741854773
MARYLAND,0.0020723290702407866
DELAWARE,0.0019303052634832756
MISSISSIPPI,0.0017845131827916225
NORTH CAROLINA,0.0015312336821310143
ALASKA,0.0015267204713527432
OHIO,0.00133805563255172
ILLINOIS,0.0010165897954148523
MONTANA,0.0009476965966620181
OKLAHOMA,0.0007053042092506346
NEBRASKA,0.0006212744496374929
PENNSYLVANIA,0.00044550905642819135
NEW YORK,0.0004009285868932218
NEW JERSEY,6.747604244440917e-05
WYOMING,2.439784834235559e-05
VERMONT,8.32559769222975e-09
KANSAS,1.3582899833970867e-10
UTAH,6.881879154477196e-11
NEW HAMPSHIRE,5.391892848548324e-11
COLORADO,3.55285278872618e-11
SOUTH DAKOTA,3.077298214382391e-11
MAINE,2.6782200075223744e-11
VIRGINIA,2.027994435238277e-11
CONNECTICUT,7.774608949517774e-12
WISCONSIN,3.4292899075486655e-12
INDIANA,1.8715767166563495e-13
