mo_yr,date,treated,synthetic_topology_augmented,gap_centered_topology_augmented
397,2009-01-01,3.099999523800001,2.728980306311525,0.3729570575046122
398,2009-02-01,3.6399999616,3.2282948616530587,0.4136429399630775
399,2009-03-01,3.5400002482,3.4910105249175274,0.050927563298608876
400,2009-04-01,3.11999979,3.5660350931347065,-0.4440974631185703
401,2009-05-01,3.9199999808,3.9157494702627127,0.006188350553423549
402,2009-06-01,4.0199997898,3.960900813859801,0.061036815956335096
403,2009-07-01,4.0999998092,4.025225955469128,0.07671169374700833
404,2009-08-01,4.279999828399999,4.089640158516411,0.19229750989972466
405,2009-09-01,4.2999995236,4.1088156498799835,0.193121713736153
406,2009-10-01,4.339999865999999,4.129570647775244,0.21236705824089125
407,2009-11-01,4.1200002674,3.9984042678968374,0.12353383951929871
408,2009-12-01,4.299999714400001,4.298428834262572,0.003508720153564914
409,2010-01-01,4.500000094800001,4.501332561676128,0.0006053731400084796
410,2010-02-01,4.6399999616,4.582702224753715,0.0592355768624216
411,2010-03-01,4.439999867199999,4.548411201249997,-0.10647349403386157
412,2010-04-01,4.220000172000001,4.330660168100372,-0.10872215608423501
413,2010-05-01,4.020000361799999,4.32057751074961,-0.2986393089334744
414,2010-06-01,3.819999980800001,4.124707479468636,-0.3027696586524992
415,2010-07-01,4.200000191200001,4.263990503147025,-0.06205247193088808
416,2010-08-01,4.279999828399999,4.2900158443251595,-0.008078175909023978
417,2010-09-01,4.099999713599999,4.1459058467911,-0.04396829317496514
418,2010-10-01,4.140000057,4.059211399977069,0.08272649703906738
419,2010-11-01,4.1200002674,4.080141811394258,0.04179629602187835
420,2010-12-01,4.0999999044,4.062989594860469,0.03894814955566656
421,2011-01-01,4.000000095800001,4.031033719077825,-0.02909578326168776
422,2011-02-01,3.8399997706,3.935011629773525,-0.09307401915738904
423,2011-03-01,3.340000438199999,3.774572609151281,-0.4326343309351461
424,2011-04-01,3.2200001720000007,3.697142240373685,-0.4752042283575481
425,2011-05-01,3.319999599800001,3.8232049001743604,-0.5012674603582233
426,2011-06-01,3.2199995998000013,3.7731884871038637,-0.5512510472877262
427,2011-07-01,3.0000003812,3.867965192153331,-0.8660269709371947
428,2011-08-01,3.3800002104000004,3.866769414184346,-0.4848313637682095
429,2011-09-01,3.0000002855999988,3.7247554197245396,-0.7228172941084047
430,2011-10-01,2.739999962,3.546563262511857,-0.8046254604957207
431,2011-11-01,2.0199998854,3.243395955707813,-1.221458230291677
432,2011-12-01,2.2000002864,3.3145781191722214,-1.1126399927560855
433,2012-01-01,1.7999998098,3.195639670681053,-1.3937020208649167
434,2012-02-01,2.0400000566000003,3.190913728300741,-1.1489758316846048
435,2012-03-01,1.8399999621999996,3.02759495015613,-1.1856571479399942
436,2012-04-01,1.419999981,2.858549654811538,-1.436611833795402
437,2012-05-01,1.6199997898000005,3.0164204326191033,-1.3944828028029668
438,2012-06-01,1.4199998858000002,2.9492776642936587,-1.5273399384775224
439,2012-07-01,1.9000000002000004,3.0831873002785897,-1.1812494600624532
440,2012-08-01,1.7799998284000005,2.9514574014067163,-1.1695197329905798
441,2012-09-01,1.2000000955999992,2.6339643080538693,-1.432026372437734
442,2012-10-01,1.4400002479999996,2.594554724854778,-1.1526166368386423
443,2012-11-01,1.0199998854,2.356046601376071,-1.3341088759599347
444,2012-12-01,1.5000000004,2.5806001930545164,-1.0786623526383803
445,2013-01-01,1.7999998098,2.693737695193315,-0.8918000453771787
446,2013-02-01,1.6399999616,2.4827887767672565,-0.8408509751511203
447,2013-03-01,1.2400000571999996,2.250155074519557,-1.0082171773034214
448,2013-04-01,1.019999886,2.1614425234449515,-1.1395047974288155
449,2013-05-01,1.5199998858,2.2960589409851306,-0.7741212151689946
450,2013-06-01,1.4199998858000002,2.241134574224164,-0.8191968484080275
451,2013-07-01,1.7000001912,2.194032281690666,-0.49209425047452976
452,2013-08-01,1.5800000194,2.125161477755538,-0.543223618339402
