,weight
NEVADA,0.10204304836878311
MARYLAND,0.0794284774603318
RHODE ISLAND,0.0750659008889227
CALIFORNIA,0.07157867915918072
HAWAII,0.059088316092471005
OHIO,0.05818080684215295
MINNESOTA,0.04618081305976422
DELAWARE,0.042569403019557625
NEW YORK,0.03251766465102918
LOUISIANA,0.032315900838210614
COLORADO,0.03214452646967752
INDIANA,0.0315927276670194
PENNSYLVANIA,0.03154651494453001
NORTH DAKOTA,0.02760001018210086
VERMONT,0.02653791711045008
UTAH,0.025996302713977813
NORTH CAROLINA,0.019393292053165083
ALABAMA,0.018771085476527404
IDAHO,0.017102885340884093
MAINE,0.01587527756432193
OKLAHOMA,0.014723664360796203
VIRGINIA,0.014625298320497573
ILLINOIS,0.013208226843802516
MONTANA,0.012513327904885385
WISCONSIN,0.011819335995084517
IOWA,0.011146354282381185
NEW MEXICO,0.01084114659054108
ALASKA,0.00751718007816997
KENTUCKY,0.006707676007889389
DISTRICT OF COLUMBIA,0.0065670733100266585
WYOMING,0.005747038610483489
SOUTH DAKOTA,0.0057249597491337255
NEW HAMPSHIRE,0.005530769494335444
MASSACHUSETTS,0.004358602364485373
MISSISSIPPI,0.0034988115083339887
TEXAS,0.0031675985003627467
CONNECTICUT,0.0030550873167540372
WEST VIRGINIA,0.002719965124944062
TENNESSEE,0.002699729814429159
NEW JERSEY,0.0026597837635640932
KANSAS,0.002391178600342513
NEBRASKA,0.001936845268563508
WASHINGTON,0.0013107740169792442
OREGON,2.2270156039832168e-08
