,weight
IDAHO,0.17060139741895017
CALIFORNIA,0.12551845607080941
KENTUCKY,0.10188776257013676
MINNESOTA,0.10017784920983089
NORTH CAROLINA,0.07480635772409565
MASSACHUSETTS,0.06328047516783833
RHODE ISLAND,0.060882996821397806
HAWAII,0.059693321883839
PENNSYLVANIA,0.04344734030446244
MARYLAND,0.0268755112866865
OREGON,0.017229398899062984
LOUISIANA,0.013033201240649472
TENNESSEE,0.012825391616958054
TEXAS,0.012799926812028987
NEVADA,0.011786253294396708
NEW JERSEY,0.009319204924193204
OKLAHOMA,0.008636388350423886
NEBRASKA,0.008433859560019158
UTAH,0.008187845563596207
IOWA,0.007544761519581384
NEW YORK,0.007373190261169284
VIRGINIA,0.0065964303796998336
DISTRICT OF COLUMBIA,0.006108778214827922
MONTANA,0.0047499669645508485
NORTH DAKOTA,0.004104840541997944
ILLINOIS,0.004102435763444781
MISSISSIPPI,0.0038919603087315246
COLORADO,0.003504685015966419
WISCONSIN,0.0033144304364399967
VERMONT,0.002618428038609679
NEW HAMPSHIRE,0.0023631266409402983
CONNECTICUT,0.00215672156237714
DELAWARE,0.0021438399824870494
INDIANA,0.001874683001111358
NEW MEXICO,0.0014433839204667082
KANSAS,0.0014035743450678863
ALABAMA,0.001362183888325484
OHIO,0.0013293259338086937
WASHINGTON,0.0012641812158395362
MAINE,0.00037217719319189804
ALASKA,0.00036188407857686787
WEST VIRGINIA,0.00033927376893587354
SOUTH DAKOTA,0.00025279829869856327
WYOMING,5.777448080407233e-12
