      date  missouri  synthetic_author  synthetic_topology_augmented  gap_author  gap_topology_augmented  centered_gap_author  centered_gap_topology_augmented
2009-01-01      3.10          2.998002                      2.880199    0.101997                0.219801             0.059100                         0.209597
2009-02-01      3.64          3.395085                      3.352177    0.244915                0.287823             0.202018                         0.277619
2009-03-01      3.54          3.602218                      3.523709   -0.062217                0.016291            -0.105114                         0.006087
2009-04-01      3.12          3.672867                      3.483805   -0.552867               -0.363805            -0.595764                        -0.374009
2009-05-01      3.92          3.972428                      3.982936   -0.052428               -0.062936            -0.095325                        -0.073140
2009-06-01      4.02          4.018402                      4.069723    0.001598               -0.049723            -0.041299                        -0.059927
2009-07-01      4.10          4.078502                      4.201402    0.021498               -0.101402            -0.021399                        -0.111606
2009-08-01      4.28          4.174425                      4.268318    0.105575                0.011682             0.062678                         0.001478
2009-09-01      4.30          4.229451                      4.276880    0.070549                0.023120             0.027652                         0.012916
2009-10-01      4.34          4.280559                      4.305993    0.059440                0.034007             0.016543                         0.023803
2009-11-01      4.12          4.019261                      4.116176    0.100739                0.003825             0.057842                        -0.006379
2009-12-01      4.30          4.244396                      4.327727    0.055604               -0.027727             0.012707                        -0.037931
2010-01-01      4.50          4.587413                      4.501288   -0.087413               -0.001288            -0.130310                        -0.011492
2010-02-01      4.64          4.693386                      4.598921   -0.053386                0.041079            -0.096283                         0.030875
2010-03-01      4.44          4.345375                      4.411337    0.094625                0.028663             0.051728                         0.018459
2010-04-01      4.22          4.113427                      4.164758    0.106574                0.055242             0.063677                         0.045039
2010-05-01      4.02          4.028272                      4.137387   -0.008271               -0.117387            -0.051168                        -0.127591
2010-06-01      3.82          3.824196                      3.940419   -0.004196               -0.120419            -0.047093                        -0.130622
2010-07-01      4.20          3.983297                      4.185141    0.216703                0.014859             0.173806                         0.004655
2010-08-01      4.28          4.042358                      4.183413    0.237642                0.096587             0.194745                         0.086383
2010-09-01      4.10          4.025854                      4.060797    0.074145                0.039203             0.031248                         0.028999
2010-10-01      4.14          3.947892                      3.996416    0.192108                0.143584             0.149211                         0.133380
2010-11-01      4.12          3.926653                      4.010379    0.193347                0.109621             0.150450                         0.099417
2010-12-01      4.10          3.816224                      3.971727    0.283776                0.128273             0.240879                         0.118069
2011-01-01      4.00          3.981619                      3.926396    0.018381                0.073604            -0.024516                         0.063400
2011-02-01      3.84          3.824456                      3.797227    0.015544                0.042773            -0.027353                         0.032569
2011-03-01      3.34          3.555764                      3.589844   -0.215764               -0.249844            -0.258661                        -0.260048
2011-04-01      3.22          3.445395                      3.494794   -0.225395               -0.274793            -0.268292                        -0.284997
2011-05-01      3.32          3.500799                      3.588409   -0.180799               -0.268409            -0.223696                        -0.278613
2011-06-01      3.22          3.512707                      3.671437   -0.292708               -0.451438            -0.335605                        -0.461641
2011-07-01      3.00          3.583996                      3.844774   -0.583996               -0.844774            -0.626893                        -0.854978
2011-08-01      3.38          3.455744                      3.589275   -0.075744               -0.209275            -0.118641                        -0.219479
2011-09-01      3.00          3.469311                      3.456100   -0.469311               -0.456100            -0.512208                        -0.466304
2011-10-01      2.74          3.238502                      3.241996   -0.498502               -0.501996            -0.541399                        -0.512200
2011-11-01      2.02          2.797583                      2.842165   -0.777583               -0.822165            -0.820480                        -0.832369
2011-12-01      2.20          2.821019                      2.924387   -0.621019               -0.724387            -0.663916                        -0.734591
2012-01-01      1.80          2.775025                      2.802032   -0.975025               -1.002032            -1.017922                        -1.012236
2012-02-01      2.04          2.706773                      2.801899   -0.666773               -0.761899            -0.709670                        -0.772103
2012-03-01      1.84          2.551569                      2.564634   -0.711569               -0.724634            -0.754466                        -0.734838
2012-04-01      1.42          2.420819                      2.365668   -1.000819               -0.945668            -1.043716                        -0.955872
2012-05-01      1.62          2.598402                      2.611284   -0.978402               -0.991284            -1.021299                        -1.001488
2012-06-01      1.42          2.601418                      2.549348   -1.181419               -1.129349            -1.224316                        -1.139552
2012-07-01      1.90          2.820559                      2.763179   -0.920559               -0.863179            -0.963456                        -0.873383
2012-08-01      1.78          2.846953                      2.622705   -1.066953               -0.842705            -1.109850                        -0.852909
2012-09-01      1.20          2.648931                      2.284467   -1.448931               -1.084467            -1.491828                        -1.094671
2012-10-01      1.44          2.625415                      2.286975   -1.185414               -0.846975            -1.228311                        -0.857178
2012-11-01      1.02          2.304875                      1.970451   -1.284875               -0.950452            -1.327772                        -0.960655
2012-12-01      1.50          2.455984                      2.171815   -0.955984               -0.671815            -0.998881                        -0.682019
2013-01-01      1.80          2.649750                      2.266798   -0.849750               -0.466799            -0.892647                        -0.477003
2013-02-01      1.64          2.448432                      2.050417   -0.808432               -0.410417            -0.851329                        -0.420621
2013-03-01      1.24          2.342078                      1.827834   -1.102078               -0.587834            -1.144975                        -0.598038
2013-04-01      1.02          2.285754                      1.784548   -1.265754               -0.764549            -1.308651                        -0.774752
2013-05-01      1.52          2.417583                      1.949236   -0.897583               -0.429236            -0.940480                        -0.439440
2013-06-01      1.42          2.405315                      1.913417   -0.985315               -0.493417            -1.028212                        -0.503621
2013-07-01      1.70          2.358522                      1.927009   -0.658522               -0.227009            -0.701419                        -0.237212
2013-08-01      1.58          2.328472                      1.857196   -0.748472               -0.277196            -0.791369                        -0.287399
